職稱,公司名稱,要求工作經驗,要求學歷,所需技能
高雄-國外業務(底薪30K↑+高獎金)【Company Expansion】,薩摩亞商奧凡國際有限公司台灣分公司,2年以上,專科、大學、碩士,不拘
"內勤業務-台中(免出差,高獎金)【擴編】",薩摩亞商奧凡國際有限公司台灣分公司,1年以上,高中、專科、大學、碩士,不拘
內湖-國外業務(底薪32K↑+高獎金)【Company Expansion】,薩摩亞商奧凡國際有限公司台灣分公司,2年以上,專科、大學、碩士,不拘
會計,羅賓昇國際聯運股份有限公司,2年以上,大學,不拘
<Internship Program> Skoda Aftersales Intern ,奧迪福斯汽車股份有限公司,不拘,專科以上,不拘
板橋-大陸業務(底薪28K↑+高獎金)【擴編】,薩摩亞商奧凡國際有限公司台灣分公司,2年以上,專科、大學、碩士,不拘
Senior Field Application Engineer-FPGA,艾睿電子股份有限公司,不拘,大學,不拘
內湖-大陸業務(底薪28K↑+高獎金)【擴編】,薩摩亞商奧凡國際有限公司台灣分公司,2年以上,專科、大學、碩士,不拘
英語國貿主管,逸凡國際貿易有限公司,3年以上,大學,"['貿易單據製作', '進出口作業流程控管', '進出口報關管理', '熟悉進出口業務', '國際貿易基本概念']"
Regulatory Affairs Specialist,Zimmer Biomet_台灣捷邁醫療器材股份有限公司,不拘,大學、碩士,不拘
Service Engineer - Taipei,"GETINGE GROUP TAIWAN CO., LTD._台灣悅廷和有限公司",5年以上,大學,不拘
室內設計工務【擴編】-台中總公司,薩摩亞商奧凡國際有限公司台灣分公司,2年以上,高中、專科、大學,不拘
外商業務助理（海外培訓機會）,新加坡商星沃恪股份有限公司台灣分公司,不拘,不拘,不拘
Technical Account manager,廣達集團_雲達科技股份有限公司,5年以上,大學以上,"['專案人力資源管理', '專案時間╱進度控管', '專案規劃執行╱範圍管理', '專案溝通╱整合管理', '負責文件更新、發行、審核與跟催作業', '客訴案件處理', '功能測試(function test)', '問題追蹤處理(Bug tracking)', '測試環境建置規劃']"
專案專員-產品認證部(林口IoT),德凱認證股份有限公司,1年以上,大學以上,不拘
"財務會計類: Order Management Analyst (工作地: Tokyo, Japan)","Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司",不拘,大學以上,不拘
業務開發,布羅索股份有限公司,不拘,專科以上,不拘
(Sr.) HW Application Engineer(台北),矽立科技有限公司,不拘,大學、碩士,"['硬體工程技術開發', '硬體系統研發設計', '微機電系統設計', '類比IC電路設計']"
集團總部 - KFC Marketing Assistant Manager (企劃部副理),必勝客Pizza Hut/肯德基KFC_富利餐飲股份有限公司,5年以上,大學、碩士,不拘
2100 國內/外 業務人員,新巨企業股份有限公司,2年以上,大學以上,不拘
東南亞客戶經理,瑞昱半導體股份有限公司,5年以上,大學、碩士,不拘
專案助理/管理師Project Assistant/Coordinator,TUV_台灣德國萊因技術監護顧問股份有限公司,1年以上,大學、碩士,不拘
Digital Marketing Specialist,微星科技股份有限公司,3年以上,大學、碩士,不拘
原廠業務-被動元件(台北市),伍仕電子股份有限公司,1年以上,專科以上,不拘
(Sr.) Application Engineer-資深/技術支援工程師-TC19300,"Super Micro Computer, Inc._美超微電腦股份有限公司",5年以上,大學、碩士,不拘
【SB40-05141】技術文編/Technical Writer/ Copywriter ,亞旭電腦股份有限公司,不拘,專科以上,不拘
PM高級管理師,頻譜電子工業股份有限公司,3年以上,大學以上,"['專案成本╱品質╱風險管理', '專案時間╱進度控管', '專案採購管理', '專案規劃執行╱範圍管理', '專案溝通╱整合管理', '專案管理架構及專案說明']"
產品企劃PM- Blade Server (工作地點:內湖陽光街),Advantech_研華股份有限公司,3年以上,大學、碩士,不拘
DR-知名物流公司/Customer Service Executive (客服主任)(公司發展穩定且資金雄厚),新加坡商立可人事顧問有限公司台灣分公司,3年以上,大學,不拘
Software PM,岳鼎股份有限公司,不拘,大學以上,"['軟體程式設計', '結構化程式設計']"
Cerruti 1881－專櫃銷售人員(大安區),Gieves & Hawkes、Kent & Curwen、Cerruti 1881、 D'URBAN_香港商卓業服飾有限公司台灣分公司,2年以上,專科以上,不拘
有經驗海空運進出口承攬業務人員,鈞陽運通股份有限公司,1年以上,專科以上,"['熟悉進出口業務', '國際貿易基本概念', '客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫']"
國際業務專員- APAC,瑞傳科技股份有限公司,不拘,大學、碩士,不拘
天線工程師/天線資深工程師,臺灣碩貝德無線科技有限公司,不拘,大學,不拘
產品/解決方案經理 Product/Solution Manager,昕力資訊股份有限公司,5年以上,大學以上,不拘
Customer Success Representative,美商浪橋科技股份有限公司_Splashtop Inc.,1年以上,專科、大學、碩士,不拘
Accounting Supervisor,台灣瑞肯物流股份有限公司,4年以上,大學以上,不拘
Project Manager (RPA),力新國際科技股份有限公司,3年以上,大學、碩士,"['專案人力資源管理', '專案成本╱品質╱風險管理', '專案時間╱進度控管', '專案採購管理', '專案規劃執行╱範圍管理', '專案溝通╱整合管理', '專案管理架構及專案說明']"
Assistant Marketing Manager – sloggi,黛安芬國際股份有限公司,4年以上,大學、碩士,不拘
技術應用工程師(FAE),勝品電通股份有限公司,3年以上,大學、碩士,不拘
業務工程師.高額獎金(台中大里、林口、高雄),震豐股份有限公司,1年以上,大學、碩士,不拘
DIY Specialist,Gucci_荷蘭商開雲亞洲股份有限公司古馳台灣分公司,不拘,高中以上,不拘
伺服器Solution專案銷售專員/主管(北京) - J1509,廣達電腦股份有限公司,3年以上,大學、碩士,不拘
Product Marketing Specialist/AM (Mobile),SAMSUNG_台灣三星電子股份有限公司台北分公司,5年以上,大學、碩士,不拘
原廠業務-連接器 (桃/竹/苗),伍仕電子股份有限公司,1年以上,專科以上,不拘
Product Engineer (SW Xcelium),荷蘭商益華國際電腦科技股份有限公司台灣分公司_Cadence,5年以上,碩士以上,不拘
"Head of Support , APAC",英屬開曼群島商萬里雲互聯股份有限公司台灣分公司,5年以上,碩士,不拘
QC-Cusromer Quality Account Manager,泰金寶電通股份有限公司,5年以上,專科以上,不拘
SAS-業務助理(IOT BD),光寶科技股份有限公司,2年以上,大學以上,不拘
FAE資深工程師_功率半導體元件(中壢),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,4年以上,碩士,不拘
Shopee APP - 文字客服人員,樂購蝦皮股份有限公司,1年以上,高中、專科、大學,不拘
Technical Project Manager,英屬開曼群島商世芯股份有限公司台灣分公司,5年以上,大學、碩士,不拘
解決方案架構經理,華碩雲端股份有限公司,5年以上,專科以上,不拘
ARTIFACTS /ART HAUS服裝商品採購（BUYER）,新光紡織股份有限公司,不拘,大學以上,不拘
Pricing Specialist/Manager 訂價專員/主管,德國馬牌(Continental)_台灣開利耐特有限公司,5年以上,大學、碩士,市場調查資料分析與報告撰寫
Strategic Partnership Associate/Assistant Manager,Lalamove啦啦快送_小蜂鳥國際物流有限公司,2年以上,大學、碩士,不拘
架構規劃經理,華碩雲端股份有限公司,5年以上,專科以上,不拘
Supply Chain Assistant Manager- Foreign FMCG MNC,台灣米高蒲志國際股份有限公司,4年以上,大學,不拘
【Shoplus】Marketing Manager,愛卡拉互動媒體股份有限公司,5年以上,大學以上,不拘
(Sr.) Field Application Engineer- 資深/應用工程師 -TC19253,"Super Micro Computer, Inc._美超微電腦股份有限公司",不拘,大學、碩士,不拘
Product Division Head(內湖或昆山),Advantech_研華股份有限公司,8年以上,大學、碩士,不拘
System Engineer,愛德萬測試股份有限公司,不拘,大學、碩士,不拘
Operation Planner 通路營運規劃師,Gogoro Taiwan Limited_睿能創意股份有限公司,5年以上,大學、碩士,不拘
Supply Chain Planner,Nexperia_安世半導體股份有限公司,不拘,大學,不拘
行銷專員 (Marcom Specialist),威鋒電子股份有限公司,2年以上,碩士,"['專案時間╱進度控管', '提案與簡報技巧', '實體活動規劃與執行', '研討會／講座活動規劃與執行', '社群媒體經營管理', '網站流量成效追蹤', '文書處理軟體操作', '簡報軟體操作']"
Nutrition - Trade Marketing Manager/ Assistant Trade Marketing Manager,美商亞培股份有限公司台灣分公司,5年以上,大學以上,不拘
Customer Service Coordinator,台英帝國菸草製造股份有限公司,不拘,大學,不拘
台中-PHP開發工程師,薩摩亞商奧凡國際有限公司台灣分公司,不拘,專科、大學、碩士,不拘
【全職】客房業務副理 (台南晶英酒店),晶華國際酒店集團_晶華國際酒店股份有限公司,2年以上,大學以上,不拘
事業經營經理 - Business Manager (OTL),香港商藍鐘商業有限公司,8年以上,大學、碩士,"['部門人力成本控制', '預算編製與成本控管', '專案人力資源管理', '專案成本╱品質╱風險管理', '專案時間╱進度控管', '專案規劃執行╱範圍管理', '專案溝通╱整合管理', '業績目標達成', '危機與議題管理', '協商談判能力', '部門績效目標管理', '賣場／門市商圈經營', '賣場／門市營運計畫與管理']"
Unite Trust Product Manager,星展(台灣)商業銀行股份有限公司,5年以上,大學、碩士,不拘
Supplier Quality Engineer (SQE)-W02(利澤廠),台灣半導體股份有限公司,4年以上,大學以上,不拘
室內設計師-台中總公司,薩摩亞商奧凡國際有限公司台灣分公司,3年以上,專科、大學、碩士,不拘
MY-知名外商 徵 Customer Care Representative(捷運忠孝新生),新加坡商立可人事顧問有限公司台灣分公司,2年以上,大學以上,不拘
SA10023 Fulfillment PM (主機板),華碩電腦股份有限公司,不拘,大學、碩士,不拘
日文業務人員,南京資訊股份有限公司,2年以上,大學、碩士,"['國外業務開發', '業績目標分配與績效達成']"
Commodity 策略規劃經理  - (PAPS),Advantech_研華股份有限公司,3年以上,大學、碩士,不拘
數位廣告行銷經理 Digital Marketing Manager - Paid acquisition & Lead-to-purchase funnel,Cubo AI寶寶攝影機_雲云科技股份有限公司,3年以上,不拘,不拘
Customer Activation Manager (Trade Marketing) ( 1 year contract),台灣瑪氏股份有限公司,3年以上,大學、碩士,不拘
Regional Product Manager - APAC,香港商邁世國際有限公司台灣分公司,6年以上,大學、碩士,不拘
Account Manager_Ortho(南區),旭達生技股份有限公司,5年以上,大學、碩士,"['業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '廣告業務銷售能力', '客戶情報蒐集', '客訴案件處理', '產品介紹及解說銷售']"
eCommerce Specialist - Taiwan,香港商邁世國際有限公司台灣分公司,3年以上,大學,"['提案與簡報技巧', '網站企劃能力', '網路活動規劃與執行', '品牌知名度推廣', '市場調查企劃與執行', '市場調查資料分析與報告撰寫', '網站流量成效追蹤', '廣告企劃案╱文案撰寫', '廣告效益評估', '客戶資料更新維護', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫']"
Account Manager_Ortho(桃竹苗區),旭達生技股份有限公司,5年以上,大學、碩士,"['業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '廣告業務銷售能力', '客戶情報蒐集', '客訴案件處理', '產品介紹及解說銷售']"
【AI 數據服務事業部】Business Development 實習生(需實習至少3.5天，半年期),若水國際股份有限公司,不拘,大學、碩士,不拘
Dior-Training Manager,法國LVMH集團香水化粧品事業部_香港商法華香水化粧品有限公司台灣分公司,3年以上,大學、碩士,不拘
資深產品行銷專員,美商嘉康利股份有限公司台灣分公司,3年以上,大學、碩士,不拘
